ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
J.A.M. van de Reep;47221;118785;488419;23;Butcher;-0,4;0,5;
Halal Slagerij Marrakech;47221;124065;486275;25;Butcher;-0,4;0,5;
Slagerij Habo V.O.F.;47221;118626;488069;26;Butcher;-0,4;0,5;
A. van Buuren;47222;120729;488237;28;Butcher;-0,4;0,5;
Slagerij Idsinga Louis Bouwmeesterstraat B.V.;47221;116468;485432;30;Butcher;-0,4;0,5;
Slagerij Zagora;47221;121323;485423;34;Butcher;-0,4;0,5;
IQRA islamitische slagerij;47221;125525;480826;35;Butcher;-0,4;0,5;
France Limousin Slagerij Poldervaart;47221;123624;485476;35;Butcher;-0,4;0,5;
Islamitische Slagerij Al Fatah;47221;125540;480819;35;Butcher;-0,4;0,5;
Slagerij de Wit;47221;123767;485221;36;Butcher;-0,4;0,5;
Slagerij Woorts;47221;121497;484278;36;Butcher;-0,4;0,5;
Slagerij Alhoceima;47221;120360;488386;39;Butcher;-0,4;0,5;
Slagerij John de Roode Amsterdam;47221;120342;489347;40;Butcher;-0,4;0,5;
Slagerij Aladdin;47221;118354;485069;40;Butcher;-0,4;0,5;
Slagerij El Fath;47221;119991;487650;40;Butcher;-0,4;0,5;
Vleeshouwerij D. Reinhart;47221;121266;487705;41;Butcher;-0,4;0,5;
Slagerij Korrel;47221;118799;487985;41;Butcher;-0,4;0,5;
Slagerij Nazar;47221;119559;486665;42;Butcher;-0,4;0,5;
Laura's Poelier / Traiteur;47222;119620;482029;42;Butcher;-0,4;0,5;
H & I.M. Vet-Haas h/o 't Slagertje;47221;121849;487458;43;Butcher;-0,4;0,5;
Slagerij Willem Terlouw;47221;125094;483908;43;Butcher;-0,4;0,5;
Slagerij Marcus;47221;121820;484471;44;Butcher;-0,4;0,5;
Himalaya Slagerij & Supermarkt;47221;119301;487146;44;Butcher;-0,4;0,5;
Oosterse Supermarkt Oz-Tekbir;47221;119186;484620;45;Butcher;-0,4;0,5;
Firma Koopman V.O.F.;47221;120443;486969;45;Butcher;-0,4;0,5;
Bades;47221;121201;485348;45;Butcher;-0,4;0,5;
Slagerij Bernard;47221;121293;485402;45;Butcher;-0,4;0,5;
Slagerij H. Meinen;47221;118686;486379;47;Butcher;-0,4;0,5;
Slagerij Akbar;47221;117843;487990;47;Butcher;-0,4;0,5;
F. Jonker;47222;121488;484490;48;Butcher;-0,4;0,5;
Hergo;47221;121478;484336;50;Butcher;-0,4;0,5;
Slagerij N.G. van der Laan B.V.;47221;118782;484963;50;Butcher;-0,4;0,5;
Slagerij Rief;47221;120410;488015;50;Butcher;-0,4;0,5;
Keurslagerij Peter Moet;47221;121967;485145;50;Butcher;-0,4;0,5;
